id;descripcio;nogis;uso;nivel;N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad ;Permiso_salud;Vigencia_p;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_persona;Distrito;Canton;Este;Norte;Longitud;Latitud
27329;CONDOMINIO PARQUE EMPRESARIAL FORUM I;343024000;COMERCIAL;3;207;BOLSA NACIONAL DE VALORES;15627;18/11/2004;COM;Actividad bursatil;3467-2019;26/4/2024 00:00;;0;SI;1;0;33;343024000;25418;;0;POZOS, PARQUE EMPRESARIAL FORUM # 1, FILIAL # 1-A-3.;F;1-1404377-2010;Juridica;POZOS;SANTA ANA;478921.67;1099624.77;9.94461;-84.19224
202;CONDOMINIO SANTA ANA DOS MIL;325201000;COMERCIAL;0;203;TELEDOLAR SANTA ANA;109055;25/10/2005;COM;Actividad bursatil;203;;;0;NO;1;0;327;325201000;14130;;0;CENTRO COMERCIAL SANTA ANA 2000, LOCAL # 43.;F;1-116210-1993;Juridica;POZOS;SANTA ANA;478977.37;1099464.41;9.94316;-84.19173
7762;PREDIO ORDINARIO;328156000;;0;173;BANCO HSBC;13520;26/4/1998;COM;Actividad bursatil;173;;;0;NO;1;0;603;328156000;605106;;2;POZOS, DIAGONAL AL DEPOSITO EL LAGAR.;;1-598412-1999;Juridica;POZOS;SANTA ANA;478807.12;1100190.58;9.94973;-84.19329
15077;CONDOMINIO VISTANA ESTE;311350001;CALLE PRIVADA;0;170;BAC SAN JOSE;8981;17/2/2003;COM;Actividad bursatil;170;;;0;NO;1;0;874;311350001;69880;;0;POZOS, CONDOMINIO VISTANA ESTE, FILIAL # 1-A.;F;1-1298730-2008;Juridica;POZOS;SANTA ANA;478730.03;1100579.56;9.95325;-84.19399
12746;PREDIO ORDINARIO;124017000;;0;22;AGRO SALITRE;5696;11/1/2006;COM;Agroquimicos;22;8/4/2018 00:00;;0;NO;1;0;48;124017000;125725;;0;SANTA ANA, CENTRO, DE RICESA 100 ESTE.;;1-370429-1979;Juridica;SANTA ANA;SANTA ANA;480224.5;1098150.86;9.93129;-84.18035
508;PREDIO ORDINARIO;121258000;;0;488;TALLER DE ARTESANIA;3260;13/10/1986;COM;Artesania;488;;;0;SI;1;0;0;121258000;305203;;5;COSTADO OESTE DE LA INTERSECCION DE AVENIDA 16  CON CALLE 11.;;1-437486-1981;Fisica;SANTA ANA;SANTA ANA;480558.85;1097471.24;9.92515;-84.1773
12114;PREDIO ORDINARIO;126168000;;0;717;DISENIOO EN MADERA;10108;16/2/2001;COM;Artesania;717;;;0;NO;1;0;76;126168000;334030;;8;SANTA ANA CENTRO, DE LA MUNICIPALIDAD, 250 OESTE.;;1-552033-1999;Fisica;SANTA ANA;SANTA ANA;479893.08;1098330.47;9.93292;-84.18337
2022;PREDIO ORDINARIO;405169000;;0;305;CERAMICA;11328;9/9/1991;COM;Artesania;305;30/4/2024 00:00;;0;SI;1;0;0;405169000;301376;;0;URUCA, DEL COLEGIO 115 NORTE Y 29 ESTE.;;1-845758-1989;Fisica;URUCA;SANTA ANA;478906.6;1098528.11;9.9347;-84.19237
1211;PREDIO ORDINARIO;115006000;;0;125;CERAMICA PAUL;15586;6/1/1992;COM;Artesania;125;;;0;NO;1;0;199;115006000;284975;;0;SANTA ANA, ALTO DE LAS PALOMAS, FRENTE AL HOTEL ALTA.;;1-78302-1992;Fisica;SANTA ANA;SANTA ANA;481630.65;1098280.48;9.93247;-84.16753
12103;PREDIO ORDINARIO;126224000;;0;575;CERAMICA SANTA ANA;17467;9/10/2000;COM;Artesania;575;;;0;NO;1;0;199;126224000;266606;;2;SANTA ANA, CENTRO, DEL BANCO POPULAR 350 OESTE.;;1-1209701-2008;Fisica;SANTA ANA;SANTA ANA;479802.68;1098291.32;9.93256;-84.1842
